File Name: 0:\GARMIN\EVNTLOGS/0000001D.TXT


>>>>> EVL_CURR_LOGS <<<<<

verNum:     8/13/2014 (00)
ownerID:    00000002
OwnerName:  HWM
status:     01
pri_thresh:  4
archived:   00
max_arch:   00
num_recs:   80
rec_size:   40
next_evnt:  4F
timeDay:    2018/ 2/ 9 18:35:12 
cycle_cnt:  7

0A: D8 00 00 00 418:13:16.672 HWM main 02040A01303A5C4741524D494E5C4556 ....0:\GARMIN\EV
0B: E0 00 00 00 418:13:17.259 HWM main  CHKDSK Report: Time:587msec Dirs:40 Files:234 Free:25185 Diff:0

0C? FF 00 00 00   0:00:02.803 HWM main 2018/ 1/13 13:21:53 C:6
0D: E0 00 00 00   0:00:03.614 HWM main  CHKDSK Report: Time:601msec Dirs:40 Files:235 Free:25184 Diff:0
0E: D0 00 00 00   0:00:03.614 HWM main 000041F2052021F6072041F20520D76B ..A.. !.. A.. .k
0F: D8 00 00 00 199:22:07.847 HWM main 02000F00266D616E616765725F776F72 ....&manager_wor
10: D8 00 00 00 200:52:11.972 HWM main 02040A01303A5C4741524D494E5C4556 ....0:\GARMIN\EV
11: E0 00 00 00 200:52:12.586 HWM main  CHKDSK Report: Time:608msec Dirs:40 Files:232 Free:24918 Diff:0
12: D1 00 00 00 200:52:54.004 HWM main 1200040000087000B709AC62656C6D00 ......p....belm.
13: FE 01 08 00 200:52:54.012 HWM main 2018/ 1/21 22:18:56 V:0

14: FF 00 00 00   0:00:02.599 HWM main 2018/ 1/21 22:19:45 C:7
15: E0 00 00 00   0:00:03.424 HWM main  CHKDSK Report: Time:614msec Dirs:40 Files:229 Free:25260 Diff:0
16: D0 00 00 00   0:00:03.424 HWM main 0000FFF0052001F60720FFF00520F370 ..... ... ... .p
17: D8 00 00 00 263:16:32.845 HWM main 02000F00266D616E616765725F776F72 ....&manager_wor
18: D8 00 00 00 263:48:39.547 HWM main 02040A01303A5C4741524D494E5C4556 ....0:\GARMIN\EV
19: E0 00 00 00 263:48:40.186 HWM main  CHKDSK Report: Time:620msec Dirs:39 Files:230 Free:25009 Diff:0

verNum:     8/13/2014 (00)
ownerID:    00000009
OwnerName:  CSM
status:     11
pri_thresh:  2
archived:   00
max_arch:   00
num_recs:   02
rec_size:   18
next_evnt:  02
timeDay:    2018/ 1/21 22:19:44 
cycle_cnt:  7

00* 10 00 13 00 115:46:00.013 HWM misc 3DA0F10520C8F305 =... ...
01* 11 00 05 00 103:55:48.235 HWM misc 05A9F64410000000 ...D....

verNum:     8/13/2014 (00)
ownerID:    0000000A
OwnerName:  NET
status:     11
pri_thresh:  2
archived:   00
max_arch:   00
num_recs:   00
rec_size:   18
next_evnt:  00
timeDay:    2018/ 1/21 22:19:44 
cycle_cnt:  7


verNum:     8/13/2014 (00)
ownerID:    0000000B
OwnerName:  FIT WIFI
status:     13
pri_thresh:  2
archived:   00
max_arch:   00
num_recs:   96
rec_size:   20
next_evnt:  62
timeDay:    2018/ 2/11 13:14:20 
cycle_cnt:  7

62: D0 11 03 00 169:23:09.434 HWM misc  Fitness Wi-Fi Status: 0x2
